#id             x        y        V       eV       UB     eUB        BV      eBV       VI      eVI       JH      eJH       HK      eHK    m_ini
2166      1402.08   591.22    18.34     0.13     1.06     0.13     1.35     0.13     1.78     0.13     0.07     0.13     0.22     0.13   0.0000
2167      1327.86   554.71    18.33     0.12     1.10     0.12     1.18     0.12     1.63     0.12     0.33     0.12     0.20     0.12   0.0000
2168       899.39  1473.49    18.45     0.09     0.94     0.09     1.12     0.09     1.59     0.09     0.60     0.09     0.47     0.09   0.0000
2169      1293.86  1996.30    18.05     0.11     1.90     0.11     1.96     0.11     2.23     0.11    -0.26     0.11     0.05     0.11   0.0000
2170      1718.23   629.35    19.01     0.17     1.48     0.17     1.53     0.17     2.13     0.17     0.20     0.17     0.25     0.17   0.0000
2171      1703.85  1700.44    19.58     0.19     1.55     0.19     1.82     0.19     1.97     0.19     0.65     0.19     0.16     0.19   0.0000
2172      1483.19   838.54    18.75     0.12     0.75     0.12     1.41     0.12     1.52     0.12     0.53     0.12     0.12     0.12   0.0000
2173       631.11  1425.54    18.14     0.14     0.56     0.14     1.02     0.14     1.19     0.14     0.40     0.14     0.35     0.14   0.0000
2175       591.78  1471.56    20.57     0.16     2.47     0.16     2.64     0.16     2.72     0.16     1.19     0.16     0.56     0.16   0.0000
2176        31.68  1637.33    19.20     0.15     1.58     0.15     1.84     0.15     2.20     0.15     1.00     0.15     0.09     0.15   0.0000
2177      1967.86  1223.79    17.52     0.11     0.61     0.11     0.91     0.11     1.25     0.11     0.27     0.11     0.10     0.11   0.0000
2178      1773.23  2030.13    18.40     0.20     1.52     0.20     1.83     0.20     1.74     0.20     0.03     0.20     0.19     0.20   0.0000
2179      1201.36  1143.07    17.72     0.08     0.63     0.08     1.02     0.08     1.24     0.08     0.20     0.08     0.18     0.08   0.0000
2180       898.85   566.36    17.45     0.11     0.64     0.11     1.01     0.11     1.33     0.11     0.25     0.11     0.33     0.11   0.0000
2181      1624.03   804.94    20.51     0.19     2.09     0.19     2.82     0.19     2.83     0.19     1.03     0.19     0.27     0.19   0.0000
2182      1761.40   519.28    17.92     0.12     0.60     0.12     1.21     0.12     1.17     0.12     0.36     0.12     0.27     0.12   0.0000
2183      1225.48   916.01    19.46     0.17     1.44     0.17     1.85     0.17     2.17     0.17     0.60     0.17     0.38     0.17   0.0000
2186      1166.09   136.72    19.17     0.13     1.13     0.13     1.18     0.13     1.63     0.13     0.64     0.13     0.25     0.13   0.0000
2187      1915.06  1048.54    19.21     0.20     1.21     0.20     1.39     0.20     1.93     0.20     0.38     0.20     0.09     0.20   0.0000
2188      1718.09  1058.85    21.12     0.29     2.94     0.29     2.66     0.29     3.02     0.29     1.57     0.29     0.68     0.29   0.0000
2189       836.44    18.17    19.08     0.15     1.25     0.15     1.43     0.15     1.79     0.15     0.32     0.15     0.52     0.15   0.0000
2190      1438.32    55.36    18.51     0.15     0.96     0.15     1.45     0.15     1.36     0.15     0.49     0.15    -0.29     0.15   0.0000
2191      1036.80  1951.65    18.46     0.14     0.87     0.14     1.06     0.14     1.29     0.14     0.26     0.14     0.07     0.14   0.0000
2192       963.94   535.14    18.37     0.11     0.54     0.11     0.81     0.11     0.93     0.11     0.40     0.11     0.25     0.11   0.0000
2193      1311.31   249.92    19.80     0.19     1.65     0.19     1.77     0.19     1.91     0.19     0.47     0.19     0.39     0.19   0.0000
2194      2042.86   736.06    18.66     0.11     1.10     0.11     1.20     0.11     1.44     0.11     0.69     0.11     0.21     0.11   0.0000
2195      1185.56  1982.27    18.79     0.15     0.83     0.15     0.91     0.15     1.33     0.15     0.06     0.15    -0.06     0.15   0.0000
2196       437.96  1852.29    20.12     0.20     1.74     0.20     2.06     0.20     2.15     0.20     0.76     0.20     0.42     0.20   0.0000
2197      1097.85   650.05    18.41     0.15     1.04     0.15     1.31     0.15     1.58     0.15     0.56     0.15     0.21     0.15   0.0000
2198       764.57   331.42    16.11     0.08    -0.69     0.08    -0.26     0.08     0.05     0.08    -0.34     0.08     0.10     0.08   0.0000
2199      1974.00  1767.08    19.63     0.20     1.37     0.20     1.46     0.20     1.66     0.20     0.68     0.20     0.15     0.20   0.0000
2200      1413.69   233.01    19.89     0.20     1.48     0.20     2.12     0.20     2.70     0.20     0.62     0.20     0.37     0.20   0.0000
2201       750.77   510.53    18.63     0.14     0.51     0.14     0.80     0.14     1.35     0.14     0.55     0.14     0.15     0.14   0.0000
2202        29.75  1152.36    18.33     0.12     0.99     0.12     1.18     0.12     1.35     0.12     0.17     0.12     0.02     0.12   0.0000
2203       311.88   249.94    17.77     0.10     0.22     0.10     0.30     0.10     0.73     0.10    -0.05     0.10     0.19     0.10   0.0000
2204      1825.93  1548.57    20.67     0.22     2.04     0.22     1.93     0.22     1.97     0.22     0.78     0.22     0.18     0.22   0.0000
2205       511.05  1749.08    19.66     0.18     1.67     0.18     1.48     0.18     2.09     0.18     0.55     0.18    -0.02     0.18   0.0000
2206      1101.00  1733.44    18.22     0.11     0.93     0.11     0.88     0.11     1.47     0.11     0.12     0.11     0.04     0.11   0.0000
2207      1258.70  1927.24    17.94     0.13     0.70     0.13     0.76     0.13     1.16     0.13     0.48     0.13     0.20     0.13   0.0000
2208       792.63  1975.57    18.57     0.16     0.77     0.16     1.35     0.16     1.56     0.16     0.37     0.16     0.35     0.16   0.0000
2209       816.81  1440.98    20.61     0.19     2.14     0.19     2.32     0.19     2.54     0.19     1.21     0.19     0.27     0.19   0.0000
2210       690.07  1117.68    18.50     0.14     0.55     0.14     1.04     0.14     1.45     0.14     0.37     0.14    -0.19     0.14   0.0000
2211       665.49    31.32    18.34     0.12     1.53     0.12     1.68     0.12     1.89     0.12    -0.24     0.12     0.29     0.12   0.0000
2212       297.58   311.22    20.63     0.18     2.19     0.18     2.46     0.18     2.63     0.18     1.24     0.18     0.24     0.18   0.0000
2213       302.07   497.58    18.07     0.14     0.92     0.14     0.66     0.14     1.07     0.14     0.11     0.14     0.46     0.14   0.0000
2214      1249.30  1329.19    18.55     0.13     0.51     0.13     0.80     0.13     1.31     0.13     0.21     0.13     0.14     0.13   0.0000
2215       471.48  1078.04    17.73     0.09     0.04     0.09     0.54     0.09     0.76     0.09    -0.09     0.09     0.29     0.09   0.0000
2216       360.13  1732.17    19.83     0.19     1.58     0.19     1.68     0.19     2.24     0.19     0.32     0.19    -0.10     0.19   0.0000
2217      1724.67  1309.93    18.19     0.10     0.76     0.10     1.01     0.10     1.21     0.10     0.29     0.10     0.37     0.10   0.0000
2218      2040.56  1788.99    18.84     0.11     2.16     0.11     2.17     0.11     2.32     0.11    -0.14     0.11     0.26     0.11   0.0000
2219       577.41   833.56    20.61     0.21     2.22     0.21     2.53     0.21     3.00     0.21     1.13     0.21     0.31     0.21   0.0000
2220       437.98  1500.42    20.11     0.19     1.72     0.19     1.94     0.19     2.21     0.19     1.09     0.19     0.33     0.19   0.0000
2221      1522.58  1247.44    19.45     0.21     1.87     0.21     1.73     0.21     2.09     0.21     0.59     0.21     0.22     0.21   0.0000
2222       945.86   522.91    19.06     0.11     1.27     0.11     1.49     0.11     1.62     0.11     0.17     0.11     0.18     0.11   0.0000
2224       565.42  1471.71    18.73     0.11     0.78     0.11     0.74     0.11     1.33     0.11     0.47     0.11     0.01     0.11   0.0000
2225      1757.88   320.03    17.21     0.10    -0.18     0.10     0.26     0.10     0.54     0.10    -0.04     0.10     0.00     0.10   0.0000
2226      1472.09   224.43    19.34     0.23     1.58     0.23     1.66     0.23     1.55     0.23     0.51     0.23     0.13     0.23   0.0000
2227      1030.20   685.66    19.02     0.08     1.25     0.08     1.43     0.08     1.75     0.08     0.54     0.08     0.22     0.08   0.0000
2228       352.13  1754.02    16.20     0.04    -0.60     0.04    -0.26     0.04     0.12     0.04    -0.39     0.04     0.14     0.04   0.0000
2229        97.22   632.27    18.79     0.10     0.99     0.10     1.02     0.10     1.62     0.10     0.35     0.10     0.26     0.10   0.0000
2230      1875.10  1439.64    17.49     0.11     0.53     0.11     0.69     0.11     1.00     0.11     0.13     0.11     0.37     0.11   0.0000
2231        45.10   608.05    17.87     0.13     0.47     0.13     0.37     0.13     0.88     0.13     0.11     0.13     0.24     0.13   0.0000
2232      1702.04  1347.83    17.91     0.11     0.48     0.11     0.95     0.11     1.15     0.11     0.32     0.11     0.15     0.11   0.0000
2233      1160.71  1052.17    17.84     0.09     0.63     0.09     0.64     0.09     0.91     0.09     0.12     0.09     0.08     0.09   0.0000
2234        24.58  1018.31    19.02     0.12     1.15     0.12     1.12     0.12     1.44     0.12     0.49     0.12     0.37     0.12   0.0000
2235      1549.11    15.88    17.60     0.09     0.31     0.09     0.55     0.09     0.81     0.09     0.08     0.09     0.10     0.09   0.0000
2236       337.80  1848.57    18.40     0.14     0.99     0.14     1.24     0.14     1.20     0.14     0.47     0.14     0.42     0.14   0.0000
2237      1155.49   414.55    19.09     0.14     1.31     0.14     1.55     0.14     1.71     0.14     0.47     0.14     0.37     0.14   0.0000
2238      1251.77   981.98    18.78     0.16     0.72     0.16     1.20     0.16     1.43     0.16     0.53     0.16     0.19     0.16   0.0000
2239      1985.56   283.32    17.82     0.08     0.41     0.08     0.66     0.08     0.99     0.08     0.19     0.08     0.16     0.08   0.0000
2241       673.93  1041.42    18.98     0.14     0.60     0.14     0.88     0.14     1.42     0.14     0.41     0.14     0.12     0.14   0.0000
2243       326.53  1657.11    18.21     0.15     1.45     0.15     1.72     0.15     1.82     0.15    -0.17     0.15     0.06     0.15   0.0000
2244      1730.49  1984.63    18.06     0.12     0.65     0.12     0.90     0.12     1.24     0.12     0.23     0.12    -0.02     0.12   0.0000
2245       348.12   582.84    18.34     0.10     1.48     0.10     1.71     0.10     2.06     0.10     0.06     0.10     0.30     0.10   0.0000
2246      1036.96   900.11    18.38     0.13     0.91     0.13     1.02     0.13     0.90     0.13     0.32     0.13     0.34     0.13   0.0000
2247      1026.54   407.42    19.60     0.15     1.37     0.15     1.28     0.15     1.92     0.15     0.77     0.15     0.46     0.15   0.0000
2248      1316.47  1259.72    17.63     0.08     0.40     0.08     0.62     0.08     0.78     0.08     0.23     0.08     0.29     0.08   0.0000
2249       919.02   295.10    19.80     0.14     1.62     0.14     1.62     0.14     1.86     0.14     0.62     0.14     0.39     0.14   0.0000
2250      1323.91   821.70    17.06     0.10    -0.10     0.10     0.18     0.10     0.35     0.10    -0.05     0.10    -0.00     0.10   0.0000
2251       967.59  1531.77    19.47     0.17     1.40     0.17     1.79     0.17     1.68     0.17     0.72     0.17     0.60     0.17   0.0000
2252       485.44   277.46    18.28     0.08     0.63     0.08     0.83     0.08     1.05     0.08     0.36     0.08     0.28     0.08   0.0000
2253       361.46  1831.42    19.44     0.14     0.84     0.14     1.08     0.14     1.71     0.14     0.59     0.14     0.26     0.14   0.0000
2254       915.14   668.84    19.00     0.09     1.62     0.09     1.70     0.09     1.88     0.09    -0.26     0.09     0.01     0.09   0.0000
2255      1928.37  1194.19    20.10     0.19     1.41     0.19     1.40     0.19     1.76     0.19     0.60     0.19     0.08     0.19   0.0000
2256      1224.50  1907.39    19.69     0.21     1.37     0.21     1.36     0.21     2.15     0.21     0.85     0.21     0.47     0.21   0.0000
2257      1351.02  1968.20    19.51     0.14     1.00     0.14     1.03     0.14     1.18     0.14     0.42     0.14    -0.01     0.14   0.0000
2258      2003.34   823.47    20.60     0.19     2.21     0.19     1.63     0.19     2.44     0.19     0.89     0.19     0.42     0.19   0.0000
2259      1067.52   321.45    19.89     0.18     1.23     0.18     1.35     0.18     1.65     0.18     0.58     0.18     0.15     0.18   0.0000
2260      1185.78  2010.76    19.28     0.19     1.15     0.19     1.34     0.19     1.49     0.19     0.72     0.19    -0.09     0.19   0.0000
2261      1709.49  1392.08    19.49     0.17     1.14     0.17     1.16     0.17     1.56     0.17     0.47     0.17     0.43     0.17   0.0000
2262      1578.87  1896.78    19.46     0.18     1.05     0.18     1.41     0.18     1.69     0.18     0.30     0.18     0.23     0.18   0.0000
2264       926.85   999.88    20.23     0.13     1.36     0.13     1.67     0.13     1.99     0.13     0.85     0.13     0.18     0.13   0.0000
2265      1941.85  1325.11    19.85     0.17     1.28     0.17     1.42     0.17     1.52     0.17     0.66     0.17     0.20     0.17   0.0000
2266      1993.72   420.68    19.41     0.17     1.19     0.17     1.26     0.17     1.71     0.17     0.60     0.17     0.33     0.17   0.0000
2267      1624.31   859.42    19.06     0.16     1.16     0.16     1.32     0.16     1.38     0.16     0.69     0.16     0.49     0.16   0.0000
2268       484.48  1678.00    19.05     0.16     1.19     0.16     1.52     0.16     1.90     0.16    -0.23     0.16     0.01     0.16   0.0000
2269       957.26   550.19    19.38     0.16     0.89     0.16     0.90     0.16     1.73     0.16     0.31     0.16     0.20     0.16   0.0000
2270      1425.11  1133.37    20.28     0.16     1.46     0.16     1.90     0.16     2.00     0.16     0.81     0.16     0.45     0.16   0.0000
2272       894.20   402.57    18.98     0.11     0.91     0.11     1.14     0.11     1.53     0.11     0.30     0.11     0.09     0.11   0.0000
2273      1289.50   827.71    18.69     0.13     0.87     0.13     1.07     0.13     1.15     0.13     0.26     0.13     0.34     0.13   0.0000
2274      1761.16  1760.11    18.35     0.13     0.08     0.13     0.43     0.13     0.52     0.13     0.03     0.13     0.34     0.13   0.0000
2275      1008.53  1083.94    19.17     0.15     0.93     0.15     0.99     0.15     1.39     0.15     0.28     0.15     0.44     0.15   0.0000
2277       541.49   567.62    19.77     0.17     1.26     0.17     1.44     0.17     1.90     0.17     0.65     0.17     0.41     0.17   0.0000
2278       867.44  1724.29    20.76     0.21     1.96     0.21     1.90     0.21     1.88     0.21     0.32     0.21     0.31     0.21   0.0000
2279      1902.10  1217.18    19.72     0.15     1.30     0.15     1.18     0.15     1.73     0.15     0.71     0.15     0.14     0.15   0.0000
2280        12.02   672.26    19.29     0.14     0.71     0.14     1.05     0.14     1.29     0.14     0.34     0.14     0.01     0.14   0.0000
2281       279.40  1384.11    19.92     0.17     2.35     0.17     2.18     0.17     2.38     0.17    -0.75     0.17     0.09     0.17   0.0000
2282       313.25  1328.95    19.32     0.17     1.28     0.17     1.35     0.17     1.88     0.17     0.56     0.17     0.18     0.17   0.0000
2283      1684.00  1658.71    19.55     0.15     1.16     0.15     1.07     0.15     1.27     0.15     0.20     0.15     0.25     0.15   0.0000
2284      1066.62   779.98    19.76     0.19     1.56     0.19     1.61     0.19     1.66     0.19     0.39     0.19     0.17     0.19   0.0000
2285       144.70   336.18    19.19     0.16     0.85     0.16     1.12     0.16     1.67     0.16     0.34     0.16     0.44     0.16   0.0000
2286      1886.96   456.70    19.43     0.19     1.02     0.19     1.61     0.19     1.63     0.19     0.19     0.19    -0.14     0.19   0.0000
2287       795.16   475.82    19.05     0.16     1.48     0.16     1.16     0.16     1.96     0.16     0.16     0.16     0.07     0.16   0.0000
2288        68.03   225.23    19.17     0.15     0.61     0.15     1.17     0.15     0.96     0.15     0.45     0.15     0.32     0.15   0.0000
2289      1767.74   618.68    20.48     0.21     1.96     0.21     1.42     0.21     2.15     0.21     1.35     0.21     0.14     0.21   0.0000
2290       371.20  1722.89    17.15     0.10    -0.26     0.10     0.13     0.10     0.30     0.10    -0.11     0.10     0.27     0.10   0.0000
2291      1402.61   105.56    19.04     0.14     1.02     0.14     1.20     0.14     1.39     0.14     0.42     0.14     0.08     0.14   0.0000
2292       948.49   148.56    19.41     0.14     0.73     0.14     0.89     0.14     1.64     0.14     0.34     0.14     0.15     0.14   0.0000
2293       215.39   566.37    18.97     0.14     0.64     0.14     0.79     0.14     1.12     0.14     0.46     0.14     0.01     0.14   0.0000
2294       392.81   603.33    18.61     0.12     0.57     0.12     0.67     0.12     1.08     0.12     0.36     0.12     0.56     0.12   0.0000
2295      1390.48  1204.80    20.39     0.22     1.70     0.22     2.22     0.22     2.53     0.22     0.77     0.22     0.27     0.22   0.0000
2297      1841.22  1813.21    19.81     0.15     1.35     0.15     1.47     0.15     1.93     0.15     0.92     0.15     0.24     0.15   0.0000
2299       420.19   310.52    19.30     0.15     0.56     0.15     1.07     0.15     1.32     0.15     0.43     0.15     0.25     0.15   0.0000
2300      1129.59  1772.85    20.35     0.21     1.74     0.21     1.68     0.21     2.31     0.21     0.67     0.21     0.29     0.21   0.0000
2301       817.35   349.47    18.59     0.16     0.39     0.16     0.83     0.16     0.89     0.16     0.19     0.16    -0.05     0.16   0.0000
2302       269.52   221.05    19.15     0.19     0.90     0.19     1.09     0.19     1.09     0.19     0.64     0.19     0.34     0.19   0.0000
2303      1709.80   328.00    18.90     0.15     1.78     0.15     2.14     0.15     2.05     0.15    -0.09     0.15    -0.02     0.15   0.0000
2305       345.27  1802.12    19.93     0.18     1.66     0.18     1.24     0.18     1.64     0.18     0.60     0.18     0.03     0.18   0.0000
2306      1713.61  1643.84    20.66     0.22     1.95     0.22     1.70     0.22     2.50     0.22     1.42     0.22     0.33     0.22   0.0000
2308       946.24   262.75    19.38     0.12     1.03     0.12     1.10     0.12     1.42     0.12     0.35     0.12     0.17     0.12   0.0000
2309      1737.71  1455.44    18.09     0.13     0.29     0.13     0.59     0.13     0.70     0.13    -0.02     0.13     0.12     0.13   0.0000
2310      1101.84  2033.34    19.23     0.14     0.92     0.14     1.38     0.14     1.43     0.14     0.12     0.14     0.36     0.14   0.0000
2311      1760.81  1665.22    18.82     0.13     0.92     0.13     0.97     0.13     1.66     0.13     0.52     0.13     0.17     0.13   0.0000
2312       891.95  1134.91    17.87     0.12     0.14     0.12     0.66     0.12     0.89     0.12     0.07     0.12     0.08     0.12   0.0000
2313       900.24  1588.09    17.26     0.09    -0.55     0.09    -0.19     0.09     0.04     0.09    -0.27     0.09     0.15     0.09   0.0000
2314       968.12   969.03    18.10     0.13     0.20     0.13     0.45     0.13     0.80     0.13     0.16     0.13     0.29     0.13   0.0000
2315        81.58   364.44    19.33     0.17     1.03     0.17     1.53     0.17     1.52     0.17     0.08     0.17     0.12     0.17   0.0000
2316      1969.03   527.37    17.58     0.10     0.01     0.10     0.02     0.10     0.44     0.10    -0.04     0.10     0.16     0.10   0.0000
2317      1515.48  1057.85    19.35     0.17     0.92     0.17     1.16     0.17     1.97     0.17     0.57     0.17     0.40     0.17   0.0000
2318      1209.83  1398.76    19.37     0.16     0.86     0.16     1.17     0.16     1.91     0.16     0.57     0.16     0.64     0.16   0.0000
2319      1352.52  1296.14    19.31     0.15     1.05     0.15     1.15     0.15     1.53     0.15     0.20     0.15    -0.03     0.15   0.0000
2320       444.05  1403.03    20.13     0.20     1.29     0.20     1.63     0.20     2.22     0.20     1.11     0.20     0.19     0.20   0.0000
2322      1855.36   334.60    18.72     0.17     0.87     0.17     1.12     0.17     1.21     0.17     0.73     0.17     0.34     0.17   0.0000
2323      2032.29  1287.78    19.77     0.18     1.05     0.18     1.11     0.18     1.46     0.18     0.23     0.18     0.41     0.18   0.0000
2324      1024.00   747.69    19.35     0.20     2.16     0.20     2.18     0.20     2.59     0.20    -0.00     0.20     0.27     0.20   0.0000
2325       900.81  1829.56    19.21     0.19     0.81     0.19     1.14     0.19     1.23     0.19     0.44     0.19     0.02     0.19   0.0000
2326      1991.72   184.83    21.24     0.30     1.98     0.30     1.55     0.30     2.50     0.30     0.43     0.30    -0.17     0.30   0.0000
2327       172.71   550.31    19.57     0.17     0.77     0.17     1.11     0.17     1.46     0.17     0.50     0.17     0.23     0.17   0.0000
2329      1231.21    76.27    20.48     0.21     1.62     0.21     2.04     0.21     1.76     0.21     0.76     0.21     0.75     0.21   0.0000
2330       493.59  2041.65    19.83     0.19     1.36     0.19     1.49     0.19     2.17     0.19     0.59     0.19     0.34     0.19   0.0000
2331      1203.81   972.65    20.53     0.15     1.74     0.15     1.93     0.15     2.14     0.15     0.70     0.15     0.32     0.15   0.0000
2332       318.92   818.30    19.18     0.13     1.52     0.13     1.81     0.13     1.98     0.13     0.16     0.13     0.00     0.13   0.0000
2333       970.05   677.84    19.29     0.19     1.12     0.19     1.13     0.19     1.83     0.19     0.16     0.19     0.11     0.19   0.0000
2334      1203.35  1936.79    19.11     0.12     0.89     0.12     1.06     0.12     1.43     0.12     0.43     0.12     0.24     0.12   0.0000
2335       866.39  1984.43    19.79     0.14     1.35     0.14     1.49     0.14     1.78     0.14     0.61     0.14     0.12     0.14   0.0000
2336      1852.29  1162.72    18.59     0.13     0.54     0.13     0.56     0.13     1.24     0.13     0.35     0.13     0.22     0.13   0.0000
2337      1605.89   163.30    18.19     0.11     0.22     0.11     0.64     0.11     0.83     0.11     0.18     0.11     0.10     0.11   0.0000
2338      1610.68   203.05    19.95     0.18     1.58     0.18     1.96     0.18     1.68     0.18     0.61     0.18     0.30     0.18   0.0000
2340      1730.99   453.84    19.51     0.13     0.93     0.13     1.14     0.13     1.39     0.13     0.32     0.13     0.41     0.13   0.0000
2341       719.64   177.99    20.22     0.19     1.58     0.19     1.72     0.19     2.23     0.19     0.89     0.19     0.23     0.19   0.0000
2342       365.94   541.91    19.06     0.18     0.85     0.18     1.22     0.18     1.41     0.18     0.50     0.18     0.52     0.18   0.0000
2343       801.01   119.35    19.24     0.14     1.05     0.14     1.23     0.14     1.46     0.14     0.55     0.14     0.29     0.14   0.0000
2345      1383.83   700.26    19.62     0.17     1.27     0.17     1.33     0.17     1.79     0.17     0.48     0.17     0.40     0.17   0.0000
2346      1089.74  1715.43    20.20     0.22     1.82     0.22     1.58     0.22     2.48     0.22     0.98     0.22     0.20     0.22   0.0000
2347       928.55    87.78    20.15     0.19     1.10     0.19     1.72     0.19     1.87     0.19     1.07     0.19     0.42     0.19   0.0000
2348       866.84  1895.77    19.81     0.15     1.10     0.15     1.36     0.15     1.69     0.15     0.45     0.15     0.12     0.15   0.0000
2349      1820.91  1323.26    20.09     0.19     2.62     0.19     2.21     0.19     2.50     0.19    -0.04     0.19     0.21     0.19   0.0000
2350      1539.74  1990.06    20.26     0.20     1.14     0.20     1.38     0.20     1.72     0.20     0.66     0.20     0.49     0.20   0.0000
2352      1715.18  1987.87    20.37     0.20     1.45     0.20     1.43     0.20     1.56     0.20     0.34     0.20     0.53     0.20   0.0000
2354      1328.53  1252.41    20.57     0.20     1.12     0.20     1.54     0.20     1.67     0.20     0.51     0.20     0.35     0.20   0.0000
2357       819.61  1375.18    20.30     0.19     2.26     0.19     2.30     0.19     2.38     0.19    -0.39     0.19     0.32     0.19   0.0000
2358      1081.32  1213.24    20.08     0.23     1.46     0.23     1.26     0.23     1.89     0.23     0.61     0.23     0.06     0.23   0.0000
2359       358.30   624.52    17.48     0.11    -0.53     0.11    -0.32     0.11     0.08     0.11    -0.11     0.11     0.06     0.11   0.0000
2362      1470.17  1573.06    20.68     0.20     1.32     0.20     1.96     0.20     1.94     0.20     0.89     0.20     0.33     0.20   0.0000
2363       285.06  1836.75    18.95     0.14     0.26     0.14     0.68     0.14     0.96     0.14     0.25     0.14     0.21     0.14   0.0000
2364      1259.79  1958.50    19.79     0.22     1.08     0.22     1.30     0.22     1.68     0.22     0.64     0.22     0.51     0.22   0.0000
2365        65.05  1434.67    20.43     0.22     1.08     0.22     1.63     0.22     1.66     0.22     0.31     0.22     0.46     0.22   0.0000
2366       316.04  1082.89    20.86     0.25     1.70     0.25     1.89     0.25     2.72     0.25     0.60     0.25     0.53     0.25   0.0000
2367      1439.46  1020.25    18.59     0.18     0.28     0.18     0.76     0.18     1.29     0.18     0.15     0.18     0.34     0.18   0.0000
2368      1669.84    32.68    19.08     0.15     0.14     0.15     0.76     0.15     0.99     0.15     0.40     0.15     0.35     0.15   0.0000
2369        33.91   347.64    19.69     0.15     0.90     0.15     1.37     0.15     1.32     0.15     0.57     0.15     0.53     0.15   0.0000
2370       417.84   774.23    19.91     0.19     1.06     0.19     1.36     0.19     1.96     0.19     0.34     0.19     0.12     0.19   0.0000
2371      1104.67   349.57    17.44     0.09    -0.72     0.09    -0.13     0.09     0.05     0.09    -0.14     0.09     0.04     0.09   0.0000
2372       423.90  1726.12    19.87     0.14     1.14     0.14     1.16     0.14     1.46     0.14     0.60     0.14     0.30     0.14   0.0000
2375       441.76  1658.28    20.80     0.21     1.40     0.21     1.38     0.21     1.30     0.21     0.44     0.21     0.40     0.21   0.0000
2376      1166.31   761.85    17.65     0.10    -0.49     0.10    -0.14     0.10     0.06     0.10    -0.08     0.10     0.09     0.10   0.0000
2377      1637.99  1021.17    19.14     0.12     0.38     0.12     0.72     0.12     0.91     0.12     0.27     0.12     0.00     0.12   0.0000
2378      1237.52   651.96    19.41     0.18     0.74     0.18     0.73     0.18     1.10     0.18     0.60     0.18     0.13     0.18   0.0000
2379      1911.66  1528.37    19.81     0.14     1.16     0.14     0.92     0.14     1.51     0.14     0.45     0.14     0.37     0.14   0.0000
2380      2029.65  1306.92    18.55     0.14    -0.23     0.14     0.40     0.14     0.57     0.14     0.13     0.14     0.33     0.14   0.0000
2382       157.71   934.76    20.87     0.24     2.23     0.24     2.20     0.24     2.23     0.24     0.91     0.24     0.38     0.24   0.0000
2383      1052.57  1862.36    20.01     0.17     1.18     0.17     1.27     0.17     2.19     0.17     0.05     0.17     0.20     0.17   0.0000
2384      1790.23   553.28    20.01     0.16     2.09     0.16     2.15     0.16     2.62     0.16     0.23     0.16     0.22     0.16   0.0000
2385       864.79   441.18    20.13     0.20     1.16     0.20     1.18     0.20     1.71     0.20     0.63     0.20     0.03     0.20   0.0000
2386      1973.12  1804.88    19.68     0.18     0.82     0.18     1.02     0.18     1.18     0.18    -0.00     0.18     0.25     0.18   0.0000
2387       621.37  1329.93    18.56     0.14     0.33     0.14     0.54     0.14     0.97     0.14     0.00     0.14    -0.04     0.14   0.0000
2388       856.02   486.55    19.83     0.15     0.96     0.15     1.01     0.15     1.87     0.15     0.38     0.15     0.06     0.15   0.0000
2389       877.26  1165.45    19.62     0.21     1.37     0.21     1.20     0.21     1.68     0.21     0.58     0.21     0.43     0.21   0.0000
2393       156.07   360.23    19.81     0.19     1.77     0.19     1.25     0.19     2.08     0.19     0.57     0.19     0.24     0.19   0.0000
2394       963.43  1547.30    20.21     0.20     2.01     0.20     2.11     0.20     2.27     0.20     0.11     0.20     0.06     0.20   0.0000
2395       831.50   211.32    19.08     0.14     0.49     0.14     0.66     0.14     0.79     0.14     0.38     0.14     0.13     0.14   0.0000
2397      1294.86  1909.28    20.49     0.23     2.18     0.23     2.33     0.23     2.67     0.23    -0.46     0.23     0.08     0.23   0.0000
2399       266.02   753.21    20.80     0.21     1.35     0.21     1.64     0.21     1.61     0.21     1.18     0.21     0.06     0.21   0.0000
2400       152.81   145.63    19.84     0.17     1.90     0.17     1.66     0.17     2.27     0.17    -0.10     0.17     0.48     0.17   0.0000
2401       537.76   722.99    18.98     0.13     0.64     0.13     0.67     0.13     1.09     0.13    -0.04     0.13     0.34     0.13   0.0000
2402       521.66   226.31    19.91     0.17     1.10     0.17     1.18     0.17     1.50     0.17     0.51     0.17     0.13     0.17   0.0000
2403      1627.81  1261.80    18.58     0.12     0.37     0.12     0.51     0.12     0.94     0.12     0.31     0.12     0.01     0.12   0.0000
2404      1785.25  1616.70    17.71     0.10    -0.72     0.10    -0.29     0.10     0.02     0.10    -0.06     0.10     0.14     0.10   0.0000
2405       978.29   723.27    20.50     0.21     1.30     0.21     1.79     0.21     1.96     0.21     0.71     0.21     0.32     0.21   0.0000
2407      1429.54  1243.75    20.01     0.21     1.29     0.21     1.72     0.21     2.30     0.21     0.44     0.21     0.26     0.21   0.0000
2408       523.44  1102.61    19.59     0.18     1.36     0.18     1.56     0.18     1.77     0.18     0.18     0.18     0.38     0.18   0.0000
2409        50.41  1711.47    19.64     0.24     2.56     0.24     2.97     0.24     2.47     0.24    -0.03     0.24    -0.58     0.24   0.0000
2410        51.74  1703.26    19.50     0.16     0.51     0.16     0.84     0.16     0.95     0.16     0.15     0.16     0.02     0.16   0.0000
